dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,spearman,pearson,precision,direction_match,direction_match_k,mixing_index,edistance_global,edistance_local,rmse
crc,crc_221,REF,CRC,200,mintflow,Endothelial,0.9264726618165455,0.9947507258499821,0.61,1.0,0.61,0.6188747731397459,19.92275395743842,23.09369765761667,16807.797451703096
crc,crc_221,REF,CRC,200,mintflow,Epithelial,0.7378129453236332,0.6751394085870422,0.22,0.9545454545454546,0.21,0.7311144401745587,21.671428846390985,23.203574740184568,212237.13695763447
crc,crc_221,REF,CRC,200,mintflow,Fibroblast,0.5160729018225456,0.6755819698559422,0.26,0.9423076923076923,0.245,0.44337233531014586,24.507703274718768,27.523379837971426,93643.45195186393
crc,crc_221,REF,CRC,200,mintflow,Myeloid,0.9422050551263782,0.9962825876783836,0.695,1.0,0.695,0.34195286195286195,20.822433415198937,24.06674380486831,23529.66368652003
crc,crc_221,REF,CRC,200,mintflow,T_cell,0.8179989499737494,0.8511271449569396,0.42,0.9761904761904762,0.41,0.792913622260034,27.29962909590402,30.69445813863835,31114.001222928204
crc,crc_221,REF,CRC,50,mintflow,Endothelial,0.4690036014405762,0.5092827376020475,0.86,1.0,0.86,0.6190562613430127,10.831747826676798,12.051199562817734,26873.515623957628
crc,crc_221,REF,CRC,50,mintflow,Epithelial,0.6711644657863145,0.850785299731334,0.2,1.0,0.2,0.7311404937145835,12.152722866819252,14.49296920107076,306056.2875364426
crc,crc_221,REF,CRC,50,mintflow,Fibroblast,0.43721488595438174,0.6308163088076161,0.16,1.0,0.16,0.443244109632954,13.944429234200959,17.65000717784733,120079.53721786235
crc,crc_221,REF,CRC,50,mintflow,Myeloid,0.5375750300120048,0.537870908197921,0.72,1.0,0.72,0.34195286195286195,11.027859826952222,12.49806174619239,36025.76086425089
crc,crc_221,REF,CRC,50,mintflow,T_cell,0.7505882352941176,0.8761934740489659,0.42,1.0,0.42,0.7935141627464718,14.73645212733523,17.56550946580479,39673.76286297212
