sid,model_name,holdout_celltype,n_deg,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse
C57BL6J-2.036,baseline,GABAergic neuron_Fiber_tracts,200,0.06886379714198684,0.23011000454425812,0.115,0.21739130434782608,0.025,0.235,0.019021739130434784,42.36134757995605,43.049129486083984,27.349033927917482,1521.3925048828125,2.7171945571899414
C57BL6J-2.036,baseline,GABAergic neuron_Isocortex,200,0.4608255403139993,0.49789559841156006,0.165,0.696969696969697,0.115,0.665,0.2936576889661164,48.10965995788574,52.6175350189209,29.26920051574707,1105.7870849609376,3.091521978378296
C57BL6J-2.036,baseline,astrocyte_Fiber_tracts,200,0.3993753841504009,0.3090895712375641,0.21,0.8571428571428571,0.18,0.71,0.06970014086852312,38.965053939819335,37.55714797973633,16.924653720855712,1378.3263916015626,3.2012970447540283
C57BL6J-2.036,baseline,astrocyte_Isocortex,200,0.7011635420249283,0.6425621509552002,0.28,0.9285714285714286,0.26,0.825,0.0,64.52680473327636,66.84455795288086,37.27151260375977,2101.9797607421874,3.380070686340332
C57BL6J-2.036,baseline,endothelial cell_Fiber_tracts,200,0.2655265937381974,0.31189796328544617,0.185,0.9459459459459459,0.175,0.735,0.0032362459546925564,43.51444549560547,43.6354793548584,21.727874565124512,1854.5148559570312,3.014645576477051
C57BL6J-2.036,baseline,endothelial cell_Isocortex,200,0.7168400627465039,0.6213054656982422,0.3,0.9333333333333333,0.28,0.795,0.00883280757097792,63.02462158203125,65.68129653930664,32.84476490020752,2068.0157104492187,3.222825527191162
C57BL6J-2.036,baseline,glutamatergic neuron_Fiber_tracts,200,0.005190129753243832,-0.00945232342928648,0.235,0.5531914893617021,0.13,0.49,0.9480403454481892,46.04299659729004,45.675449752807616,31.2597957611084,1294.0570190429687,3.6289916038513184
C57BL6J-2.036,baseline,glutamatergic neuron_Isocortex,200,0.37379284482112063,0.3585590422153473,0.23,0.6739130434782609,0.155,0.65,0.008706166868198308,52.21143989562988,57.051239776611325,36.26065559387207,933.5775695800781,4.086795806884766
C57BL6J-2.036,baseline,oligodendrocyte_Fiber_tracts,200,0.4211265281632041,0.3309287130832672,0.225,0.8666666666666667,0.195,0.8,0.02644142489900845,46.03368225097656,47.29078903198242,17.541237449645998,2094.360485839844,3.369544506072998
C57BL6J-2.036,baseline,oligodendrocyte_Isocortex,200,0.6669406735168381,0.4461899995803833,0.26,0.9423076923076923,0.245,0.84,0.10408432147562584,60.8933780670166,64.24741897583007,31.124575424194337,2447.3165771484373,3.598015069961548
