cell_type,source_domain,target_domain,pearson,spearman,precision,rmse,method,brain_section
endothelial cell,Thalamus,Isocortex,0.9928,0.8004,0.24,2915.564453125,cellina,C57BL6J-2.041
endothelial cell,Thalamus,Fiber_tracts,0.9945,0.8173,0.25,2944.926025390625,cellina,C57BL6J-2.041
glutamatergic neuron,Thalamus,Isocortex,0.8601,0.831,0.26,7043.0830078125,baseline,C57BL6J-2.041
glutamatergic neuron,Thalamus,Fiber_tracts,0.7843,0.7946,0.04,8771.0126953125,baseline,C57BL6J-2.041
oligodendrocyte,Thalamus,Isocortex,0.3041,0.1867,0.15,1382.3846435546875,baseline,C57BL6J-2.041
oligodendrocyte,Thalamus,Fiber_tracts,0.6287,0.174,0.36,1209.1839599609375,baseline,C57BL6J-2.041
astrocyte,Thalamus,Isocortex,0.6017,0.6217,0.31,1272.023681640625,baseline,C57BL6J-2.041
astrocyte,Thalamus,Fiber_tracts,0.5076,0.5559,0.19,1543.686279296875,baseline,C57BL6J-2.041
GABAergic neuron,Thalamus,Isocortex,0.6753,0.7033,0.22,767.3502807617188,baseline,C57BL6J-2.041
GABAergic neuron,Thalamus,Fiber_tracts,0.69,0.6066,0.13,803.6024780273438,baseline,C57BL6J-2.041
endothelial cell,Thalamus,Isocortex,0.824,0.8187,0.13,1057.5087890625,baseline,C57BL6J-2.041
endothelial cell,Thalamus,Fiber_tracts,0.9979,0.9954,0.0,9.261300086975098,baseline,C57BL6J-2.041
glutamatergic neuron,Thalamus,Isocortex,0.8354,0.8253,0.38,10122.3427734375,cpa,C57BL6J-2.041
glutamatergic neuron,Thalamus,Fiber_tracts,0.8814,0.85,0.41,10067.61328125,cpa,C57BL6J-2.041
oligodendrocyte,Thalamus,Isocortex,0.6906,0.0206,0.09,4443.2529296875,cpa,C57BL6J-2.041
oligodendrocyte,Thalamus,Fiber_tracts,0.7189,0.1977,0.08,4345.21044921875,cpa,C57BL6J-2.041
astrocyte,Thalamus,Isocortex,0.5369,0.6403,0.35,2744.45849609375,cpa,C57BL6J-2.041
