dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse,mse_lfc,top_n_perturb
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,spatialprop,glutamatergic neuron,0.624969987995198,0.617042,0.06,1.0,0.06,0.96,0.015674431981593327,52.76601104736328,60.322883987426756,23.130800247192383,371.3630004882813,20165.104,38.226917,200
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,spatialprop,glutamatergic neuron,0.5356542617046819,0.57472306,0.02,1.0,0.02,0.84,0.2648845686512758,46.38573226928711,58.35548400878906,22.129018211364745,361.6676818847656,2081.4604,31.631851,200
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,spatialprop,GABAergic neuron,0.6677070828331333,0.7944221,0.06,1.0,0.06,0.84,0.018947368421052633,46.97679481506348,57.912388229370116,19.353509521484376,333.1445709228516,2842.9365,34.25417,200
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,spatialprop,GABAergic neuron,0.5821368547418968,0.74669933,0.08,1.0,0.08,0.88,0.9947643979057592,42.078369140625,56.213531494140625,19.85240936279297,372.13934326171875,438.31372,111.86566,200
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,spatialprop,astrocyte,0.7170708283313325,0.7958255,0.06,1.0,0.06,0.96,0.04028648164726947,46.868512344360354,57.22198066711426,21.0662504196167,463.37184143066406,3181.6924,21.23727,200
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,spatialprop,astrocyte,0.7316686674669867,0.7581482,0.06,1.0,0.06,0.92,0.07244995233555768,38.307305908203126,48.26143531799316,18.771490478515624,402.56939086914065,2542.1067,33.68732,200
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,spatialprop,oligodendrocyte,0.42501800720288113,0.6407064,0.1,1.0,0.1,0.96,0.15653775322283608,54.546685791015626,65.63531494140625,19.815647888183594,489.7072326660156,1310.8074,127.69698,200
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,spatialprop,oligodendrocyte,0.28537815126050414,0.6586841,0.04,1.0,0.04,0.84,0.05060240963855422,54.78291969299316,64.8798728942871,27.7674072265625,690.5030822753906,6247.943,24.93756,200
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,spatialprop,endothelial cell,0.7948619447779111,0.86628973,0.28,1.0,0.28,0.98,0.012422360248447204,52.153055572509764,60.705085372924806,20.238719177246093,462.8023193359375,2591.7898,66.4802,200
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,spatialprop,endothelial cell,0.44710684273709483,0.86218405,0.16,1.0,0.16,0.94,0.9909365558912386,42.08529548645019,54.42442855834961,21.038650894165038,478.15215454101565,918.4444,193.45802,200
