sid,model_name,holdout_celltype,spearman,pearson,precision,edistance_cells,edistance_latents,edistance_local,mixing_index
120,baseline,Endothelial,0.6981512605042016,0.8418637909117903,0.0,3.209261000373283,,5.9428467793546345,0.5698792394847353
120,baseline,Epithelial,0.529795918367347,0.4755741542311017,0.02,3.3122767218783506,,3.3609456769531065,0.9254637863979058
120,baseline,Fibroblast,0.4758223289315726,0.4180339799408354,0.0,3.0541113784826974,,5.547688482513618,0.6268850506268419
120,baseline,Myeloid,0.6997839135654261,0.680254396161915,0.02,4.7954140624629344,,7.688144036413659,0.7038823444038607
120,baseline,T_cell,0.7979351740696278,0.8206466010658372,0.08,7.884232058380883,,10.995743412260515,0.8069969187517232
120,cellina-ablated,Endothelial,0.6617527010804322,0.6340784962104571,0.06,9.573677217657645,0.1544567108154297,12.206608392731194,0.5456251973515729
120,cellina-ablated,Epithelial,0.675390156062425,0.7668628841558807,0.02,11.175353422844465,0.537119197845459,10.566572039551462,0.47832099515683363
120,cellina-ablated,Fibroblast,0.42146458583433366,0.4542005074795604,0.1,9.247857959019958,0.11300163269042969,11.42232890900134,0.6290022524537645
120,cellina-ablated,Myeloid,0.5812725090036014,0.5364217064293011,0.08,9.093044200041266,0.125396728515625,11.405720443365881,0.7867882711075592
120,cellina-ablated,T_cell,0.807923169267707,0.7612349202909037,0.16,11.455417530789546,0.14144210815429686,13.574349668602803,0.7871170646731827
120,cellina,Endothelial,0.8673709483793516,0.8516020674717286,0.18,10.787720374119077,0.3673564910888672,13.326873157949644,0.5491109678796345
120,cellina,Epithelial,0.8280912364945977,0.933994973396992,0.38,11.061683772049234,1.624885654449463,11.617253558157804,0.8990434258656059
120,cellina,Fibroblast,0.734453781512605,0.8552927021635376,0.28,11.500212278522987,0.37263946533203124,14.007790142544746,0.6270480419053656
120,cellina,Myeloid,0.8206002400960384,0.8075561779694689,0.3,11.254344153797074,0.2830360412597656,13.465028981858254,0.6420256400400939
120,cellina,T_cell,0.8910924369747898,0.9163432306413365,0.54,13.425272637329567,0.3149064064025879,15.353399359155546,0.7893731741275
120,cellina-graph,Endothelial,0.7908283313325329,0.8054617343864385,0.16,9.035324843707818,0.08164424896240234,12.617384045440465,0.5915619646034947
120,cellina-graph,Epithelial,0.7555822328931572,0.7547074472461487,0.14,7.899188784688119,0.09763164520263672,9.883698278031595,0.49717544862644547
