celltype,pearson,spearman
Endothelial,0.12004492971752412,0.08830531607632901
Fibroblast,0.2768454341734453,0.24373159293289826
Mast_cell,0.07684482902849868,0.18344755184343778
Myeloid,0.25461723876913456,0.1417016244254061
Plasma_cell,0.00915409607657586,0.008736815184203797
Smooth_muscle,0.2473615859158467,0.21529195415372304
T_cell,0.3751505660019009,0.2949246632311658
