cell_type,label,pearson,spearman
Endothelial,CRC_global,0.743,0.7263
Endothelial,CRC1,0.7594,0.7099
Endothelial,CRC3,0.7594,0.7542
Endothelial,CRC2,0.7436,0.7337
Epithelial,CRC_global,0.9026,0.8618
Epithelial,CRC1,0.8315,0.8321
Epithelial,CRC3,0.9761,0.9559
Epithelial,CRC2,0.9925,0.9743
Fibroblast,CRC_global,0.8376,0.7827
Fibroblast,CRC1,0.8749,0.8733
Fibroblast,CRC3,0.7828,0.8302
Fibroblast,CRC2,0.749,0.7559
Myeloid,CRC_global,0.7232,0.73
Myeloid,CRC1,0.7237,0.7327
Myeloid,CRC3,0.7746,0.7898
Myeloid,CRC2,0.7442,0.7106
T_cell,CRC_global,0.7545,0.659
T_cell,CRC1,0.7973,0.7495
T_cell,CRC3,0.7876,0.7532
T_cell,CRC2,0.75,0.7182
