,control,perturbed
Fibroblast,1.7269,2.1739
Myeloid,1.5924,1.9081
T_cell,2.0644,1.8796
Smooth_muscle,1.514,1.6319
Endothelial,1.7722,1.9022
Plasma_cell,2.2425,2.6216
Mast_cell,1.8059,1.7054
