Embedding,Isolated labels,KMeans NMI,KMeans ARI,Silhouette label,cLISI,BRAS,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Niche Total,Total
Cellina_Shifted,0.51484585,0.28242262413199104,0.37040179179106625,0.5250603,0.895244,0.86129373,0.09462909,0.2592444766898483,0.6997204628698745,0,0.38297755631709596,0.5175949096679687,0.46374796832761966
Cellina_Basal,0.5076995,0.2774570148871057,0.4591230938001034,0.54678726,0.85679483,0.88637,0.18914692,0.3418661539226202,0.7212752905699839,0,0.4277316767311624,0.5295723438262939,0.48883607698824133
scVI,0.5095468,0.2754822909938815,0.21173505910016635,0.49101907,0.8146501,0.9281548,0.18530335,0.2906832060224407,0.6687939083735005,0.570975831380681,0.5287822204724631,0.46048665046691895,0.4878048784691366
scVIVA,0.52032053,0.2936827577046592,0.21363930150535385,0.5081613,0.8924955,0.8534724,0.12309343,0.2602532951460734,0.739151262677497,0,0.39519407913673554,0.48565988540649413,0.4494735628985907
Cellina_Spatial,0.5113157,0.3377773572062635,0.1585353725873023,0.47809482,0.87298214,0.8116921,0.09796585,0.19443523982878386,0.5056852214347164,0,0.3219556832866356,0.4717411041259766,0.4118269357902402
SCANVI,0.51507705,0.25464565371240816,0.24981299217975939,0.52127564,0.8436415,0.8841879,0.26738173,0.34231907485250235,0.7149915737020858,0,0.44177605068564907,0.47689056396484375,0.4628447586531659
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
