model_name,num_epochs,dataset_name,dataset_size,dataset_path,total_train_time_sec,avg_ram_gb,avg_vram_gb,peak_vram_gb
scgen,50,crc_232,1000,/data2/a330d/datasets/crc/raw_zenodo/crc_232.h5ad,12.017406225204468,5.7201493581136065,0.006008148193359375,0.0
scvi,50,crc_232,1000,/data2/a330d/datasets/crc/raw_zenodo/crc_232.h5ad,2.004671812057495,6.1737518310546875,0.019112825393676758,0.11727285385131836
scgen,50,crc_232,10000,/data2/a330d/datasets/crc/raw_zenodo/crc_232.h5ad,17.053820610046387,6.598501317641315,0.034157724941478056,0.0
scvi,50,crc_232,10000,/data2/a330d/datasets/crc/raw_zenodo/crc_232.h5ad,6.011108636856079,6.762485504150391,0.041252692540486656,0.2585420608520508
scgen,50,crc_232,100000,/data2/a330d/datasets/crc/raw_zenodo/crc_232.h5ad,24.035282611846924,6.897602399190267,0.05564934015274048,0.0
scvi,50,crc_232,100000,/data2/a330d/datasets/crc/raw_zenodo/crc_232.h5ad,72.11565852165222,6.944721221923828,0.10787492990493774,0.3037858009338379
cpa,50,crc_232,1000,/data2/a330d/datasets/crc/raw_zenodo/crc_232.h5ad,4.007645606994629,6.03043270111084,0.05300247669219971,0.16525602340698242
cpa,50,crc_232,10000,/data2/a330d/datasets/crc/raw_zenodo/crc_232.h5ad,9.027901411056519,6.603416866726345,0.11093446943495008,0.3533172607421875
cpa,50,crc_232,100000,/data2/a330d/datasets/crc/raw_zenodo/crc_232.h5ad,113.15326929092407,6.65341473469692,0.15573723126301722,0.3819136619567871
cpa,50,crc_242,1000,/data2/a330d/datasets/crc/raw_zenodo/crc_242.h5ad,3.0068359375,17.45024871826172,0.06500927607218425,0.1940460205078125
cpa,50,crc_242,10000,/data2/a330d/datasets/crc/raw_zenodo/crc_242.h5ad,11.186352491378784,15.30979433926669,0.18661889162930576,0.38177061080932617
cpa,50,crc_242,100000,/data2/a330d/datasets/crc/raw_zenodo/crc_242.h5ad,151.20513820648193,12.694252544680968,0.1565481811169757,0.38141965866088867
scgen,50,crc_242,1000,/data2/a330d/datasets/crc/raw_zenodo/crc_242.h5ad,12.01689887046814,10.889963467915853,0.006008625030517578,0.0
scvi,50,crc_242,1000,/data2/a330d/datasets/crc/raw_zenodo/crc_242.h5ad,3.00586199760437,11.32171630859375,0.024855772654215496,0.11727380752563477
scgen,50,crc_242,10000,/data2/a330d/datasets/crc/raw_zenodo/crc_242.h5ad,17.09049415588379,11.761402578914867,0.0341644287109375,0.0
scvi,50,crc_242,10000,/data2/a330d/datasets/crc/raw_zenodo/crc_242.h5ad,7.01331090927124,11.902122497558594,0.033470017569405694,0.2585439682006836
scgen,50,crc_242,100000,/data2/a330d/datasets/crc/raw_zenodo/crc_242.h5ad,24.0390784740448,12.0866649945577,0.06253631909688313,0.0
scvi,50,crc_242,100000,/data2/a330d/datasets/crc/raw_zenodo/crc_242.h5ad,111.17330169677734,12.122859954833984,0.10592781960427224,0.3106689453125
scgen,50,crc_221,1000,/data2/a330d/datasets/crc/raw_zenodo/crc_221.h5ad,12.06312608718872,8.306270917256674,0.006009101867675781,0.0
scvi,50,crc_221,1000,/data2/a330d/datasets/crc/raw_zenodo/crc_221.h5ad,2.004096269607544,8.758304595947266,0.019110441207885742,0.11727237701416016
scgen,50,crc_221,10000,/data2/a330d/datasets/crc/raw_zenodo/crc_221.h5ad,17.026538610458374,9.183998332304114,0.03005650464226218,0.0
