sid,model_name,holdout_celltype,n_deg,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca,edistance_pca_log,rmse,mse_lfc,nb_deviance
C57BL6J-2.036,baseline,GABAergic neuron_Fiber_tracts,50,0.5703739736657633,0.608348548412323,0.0,0.0,0.0,0.08,0.6657608695652174,35.92347602844238,37.85566368103027,1312.3613037109376,23.68629398345947,605.2632446289062,373.18389892578125,2.828218008092838
C57BL6J-2.036,baseline,GABAergic neuron_Isocortex,50,0.6702966819931454,0.6488084197044373,0.16,1.0,0.16,0.6,0.6759339704604691,43.57731819152832,47.91122817993164,931.0795959472656,24.102473640441893,1496.3818359375,128.24569702148438,2.2991693222617036
C57BL6J-2.036,baseline,astrocyte_Fiber_tracts,50,0.3828183150758906,0.415555864572525,0.1,1.0,0.1,0.82,0.12639273269134235,32.656473541259764,32.247582626342776,1008.7808837890625,13.687746524810791,1876.262451171875,112.14663696289062,1.535209837252143
C57BL6J-2.036,baseline,astrocyte_Isocortex,50,0.7358640065507962,0.676738440990448,0.24,1.0,0.24,0.86,0.00912280701754386,60.410183334350585,62.20383720397949,1795.6307739257813,30.873113059997557,3056.416259765625,113.27041625976562,4.212564650911202
C57BL6J-2.036,baseline,endothelial cell_Fiber_tracts,50,0.49831893848140457,0.5768181085586548,0.06,1.0,0.06,0.86,0.05501618122977346,37.04787712097168,37.39837989807129,1343.6436401367187,17.327092170715332,1701.265380859375,140.08407592773438,3.201075681564115
C57BL6J-2.036,baseline,endothelial cell_Isocortex,50,0.7017719024943719,0.6977671384811401,0.32,1.0,0.32,0.7,0.07823343848580441,59.15644493103027,61.49047584533692,1721.1213623046874,27.402663040161134,2144.295166015625,148.39559936523438,3.9398494625785814
C57BL6J-2.036,baseline,glutamatergic neuron_Fiber_tracts,50,0.07716686674669868,-0.0224518533796072,0.08,0.25,0.02,0.34,0.9530130750266002,38.75142707824707,41.07179489135742,1053.2891479492187,28.403584671020507,5204.7314453125,183.02603149414062,2.639966704195338
C57BL6J-2.036,baseline,glutamatergic neuron_Isocortex,50,0.3971668667466987,0.42912986874580383,0.1,1.0,0.1,0.72,0.013180169286577994,44.362678909301756,49.783176040649415,842.0178649902343,32.286649513244626,16301.7080078125,87.25714111328125,1.4421076105911086
C57BL6J-2.036,baseline,oligodendrocyte_Fiber_tracts,50,0.2855702280912365,0.36411041021347046,0.16,1.0,0.16,0.9,0.11100512764861949,42.12861213684082,42.943704223632814,1262.193994140625,15.48855218887329,2248.62841796875,70.75531005859375,1.9757906602967774
C57BL6J-2.036,baseline,oligodendrocyte_Isocortex,50,0.555342136854742,0.36489054560661316,0.2,1.0,0.2,0.9,0.12121212121212122,57.426884460449216,60.6041976928711,2105.4135986328124,25.654288864135744,5123.70849609375,132.7893829345703,3.805934816893065
C57BL6J-2.036,cellina,GABAergic neuron_Fiber_tracts,50,0.8921488595438174,0.9137978553771973,0.64,1.0,0.64,0.98,0.8668478260869564,39.14134330749512,43.105717468261716,688.1730895996094,9.54620189666748,840.44921875,11.12800407409668,0.04129080305231912
C57BL6J-2.036,cellina,GABAergic neuron_Isocortex,50,0.9277791116446579,0.971160888671875,0.68,1.0,0.68,1.0,0.6933101650738488,41.99154853820801,45.34053840637207,409.8055023193359,10.24975128173828,1317.7945556640625,5.426074028015137,0.07631608892903255
C57BL6J-2.036,cellina,astrocyte_Fiber_tracts,50,0.3055462184873949,0.4870985746383667,0.32,0.75,0.24,0.68,0.5619171245805242,38.15813636779785,38.81897239685058,773.1460876464844,8.039498329162598,3937.51416015625,125.70684814453125,0.03665893788311874
C57BL6J-2.036,cellina,astrocyte_Isocortex,50,0.8832172869147659,0.8679335713386536,0.36,1.0,0.36,0.94,0.4124928841277235,41.680216217041014,39.762886428833006,471.0335418701172,8.84457540512085,3284.065673828125,11.946030616760254,0.026902522056508987
C57BL6J-2.036,cellina,endothelial cell_Fiber_tracts,50,0.7355102040816326,0.9935426115989685,0.14,1.0,0.14,0.8,0.6614649519646216,32.39973545074463,32.36232948303223,270.26849365234375,6.488972759246826,3919.866943359375,285.3366394042969,0.009276277017956854
C57BL6J-2.036,cellina,endothelial cell_Isocortex,50,0.9113565426170468,0.9322919845581055,0.72,1.0,0.72,0.98,0.6248575486811898,33.905351638793945,34.070573806762695,216.2745819091797,7.140304470062256,2769.360595703125,19.195632934570312,0.006617463107325334
C57BL6J-2.036,cellina,glutamatergic neuron_Fiber_tracts,50,0.7322448979591836,0.8916871547698975,0.48,1.0,0.48,1.0,0.24577272287600319,40.3062442779541,45.24118537902832,564.9456237792969,10.710002899169922,12015.6259765625,8.67926025390625,0.17404771408462097
C57BL6J-2.036,cellina,glutamatergic neuron_Isocortex,50,0.8700600240096038,0.9513790607452393,0.46,1.0,0.46,1.0,0.46540248176429766,39.86411361694336,44.31592903137207,380.6772705078125,10.099604892730714,14819.966796875,11.8927001953125,0.12235193191496553
C57BL6J-2.036,cellina,oligodendrocyte_Fiber_tracts,50,0.4500840336134454,0.659186840057373,0.42,1.0,0.42,0.94,0.8781948832498753,28.227178001403807,28.51503219604492,130.23455200195312,6.755763816833496,6741.05712890625,14.670278549194336,0.006495577345560398
C57BL6J-2.036,cellina,oligodendrocyte_Isocortex,50,0.593469387755102,0.5176793932914734,0.48,1.0,0.48,0.82,0.7005889169325523,29.392327308654785,30.416416549682616,135.4943115234375,6.424540615081787,6634.5166015625,93.06208038330078,0.012521906085100776
C57BL6J-2.036,cellina-ablated,GABAergic neuron_Fiber_tracts,50,0.8286674669867947,0.9047700762748718,0.58,1.0,0.58,0.98,0.8641304347826086,31.938005447387695,35.77225456237793,624.6269287109375,8.490843582153321,948.49072265625,14.626974105834961,0.10537738406596499
C57BL6J-2.036,cellina-ablated,GABAergic neuron_Isocortex,50,0.9202881152460984,0.942595362663269,0.6,1.0,0.6,1.0,0.539642638115194,34.229638671875,41.82220039367676,425.9333740234375,10.681107902526856,1437.296630859375,10.464224815368652,0.14621688099029076
C57BL6J-2.036,cellina-ablated,astrocyte_Fiber_tracts,50,0.26607442977190876,0.4898979961872101,0.24,0.8333333333333334,0.2,0.7,0.6301854870173673,30.311783599853516,31.413427352905273,432.9447265625,6.106294822692871,3891.84228515625,120.03451538085938,0.045083117807770245
C57BL6J-2.036,cellina-ablated,astrocyte_Isocortex,50,0.8803361344537814,0.8826021552085876,0.4,1.0,0.4,0.98,0.9790136107229727,30.023347282409667,30.227701950073243,255.85271606445312,5.742620182037354,2947.039794921875,11.217216491699219,0.022672136976508037
C57BL6J-2.036,cellina-ablated,endothelial cell_Fiber_tracts,50,0.6430252100840336,0.9941976070404053,0.14,1.0,0.14,0.84,0.9696877276809163,29.280217933654786,29.55062141418457,214.76480102539062,5.694007110595703,3865.200439453125,287.06378173828125,0.013370436657531702
C57BL6J-2.036,cellina-ablated,endothelial cell_Isocortex,50,0.9112605042016807,0.9291377067565918,0.64,1.0,0.64,0.98,0.994939468512065,29.80616283416748,30.902201461791993,117.83283081054688,5.463644409179688,2787.8515625,20.728137969970703,0.009408926491330214
C57BL6J-2.036,cellina-ablated,glutamatergic neuron_Fiber_tracts,50,0.6113325330132053,0.725492537021637,0.18,1.0,0.18,0.92,0.6956489949054084,36.116783905029294,47.48179588317871,994.7632934570313,18.914948844909667,9859.4970703125,21.06244659423828,0.36364072457155916
C57BL6J-2.036,cellina-ablated,glutamatergic neuron_Isocortex,50,0.7600960384153662,0.8052618503570557,0.16,1.0,0.16,0.86,0.007980652962515116,37.0023738861084,50.340868377685545,1096.5108032226562,24.867396545410156,18010.3203125,28.645479202270508,0.32507522160995156
C57BL6J-2.036,cellina-ablated,oligodendrocyte_Fiber_tracts,50,0.4176230492196878,0.6822517514228821,0.16,1.0,0.16,0.86,0.7127960204658829,28.199234008789062,28.71401252746582,143.09426574707032,6.551649475097657,6457.42041015625,18.651491165161133,0.01079183012288286
C57BL6J-2.036,cellina-ablated,oligodendrocyte_Isocortex,50,0.5924129651860743,0.5279163122177124,0.46,0.9565217391304348,0.44,0.76,0.8592656458995959,27.297786903381347,27.73498115539551,91.51370239257812,5.212860584259033,6535.8681640625,96.31214141845703,0.011454048033858045
C57BL6J-2.036,cellina-graph,GABAergic neuron_Fiber_tracts,50,0.8519087635054022,0.917961835861206,0.66,1.0,0.66,1.0,0.8668478260869564,37.71098670959473,42.57654800415039,689.3442138671875,9.524259757995605,818.3966674804688,10.85165023803711,0.045429874316960606
