Embedding,Isolated labels,KMeans NMI,KMeans ARI,Silhouette label,cLISI,BRAS,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Niche Total,Total
scVI,0.50286746,0.020196980312719406,0.019565524959612644,0.49894994,0.48582968,0.91775477,0.14144976,0.0018703890264870808,0.5700465578463523,0.7263789536114015,0.4715000957767798,0.30548193454742434,0.3718891990391665
Cellina_Spatial,0.55761397,0.23622572750875653,0.12053986862699631,0.5143083,1.0,0.31536606,4.967054e-09,0.0,0.314931750272559,0,0.12605956196285226,0.48573756217956543,0.3418663620928801
Cellina_Basal,0.45505148,0.034228101353352615,0.027809713542294032,0.47892955,0.4137907,0.8456652,0.20334965,0.04830252529476159,0.5571945599244936,0.47156140274050484,0.4252146589414393,0.28196191787719727,0.3392630143028941
Cellina_Shifted,0.51437557,0.1403513936755578,0.08821463523732183,0.51000184,0.99999994,0.51610494,1.4901161e-08,0.0,0.5423748639875348,0,0.21169596011745323,0.4505887031555176,0.3550316059402918
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
