dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse,top_n_perturb
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,cellina-pert,oligodendrocyte,0.12835534213685473,0.76210535,0.08,1.0,0.08,0.96,0.6161737734851983,31.51165008544922,31.842021179199218,9.67899923324585,246.2547180175781,3.8554516,200
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,cellina-pert,astrocyte,0.7479951980792316,0.76047313,0.34,1.0,0.34,0.94,0.0788492325077691,30.593595886230467,31.746506881713866,10.052189922332763,928.4839172363281,3.5443587,200
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,cellina-pert,astrocyte,0.7858343337334933,0.7324569,0.42,0.9523809523809523,0.4,0.92,0.4383264057720963,31.33252410888672,32.62185516357422,7.862489509582519,639.1819091796875,3.6730447,200
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,cellina-pert,GABAergic neuron,0.8316446578631452,0.84819794,0.32,1.0,0.32,1.0,0.519328515860429,41.9992919921875,46.17174606323242,11.18648166656494,480.6686157226562,3.2593012,200
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,cellina-pert,GABAergic neuron,0.6867226890756302,0.7683549,0.26,1.0,0.26,0.98,0.35098749835376297,40.03545989990234,44.56652717590332,8.890748405456543,560.6992126464844,3.2237923,200
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,cellina-pert,endothelial cell,0.7624969987995198,0.8378245,0.3,1.0,0.3,0.94,0.7422556467909857,32.14330406188965,32.70741920471191,8.52293357849121,242.54879455566407,3.5385673,200
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,cellina-pert,endothelial cell,0.8214645858343338,0.9951392,0.12,0.8333333333333334,0.1,0.5,0.7149023903099027,33.66843528747559,34.59601364135742,8.33893117904663,335.26524047851564,3.7105844,200
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina-pert,glutamatergic neuron,0.7770948379351741,0.9109134,0.42,1.0,0.42,0.98,0.7662505933120429,41.74506378173828,46.318184280395506,11.042871475219727,460.13583984375,4.1269264,200
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina-pert,glutamatergic neuron,0.7349339735894357,0.8965794,0.5,1.0,0.5,1.0,0.5590863919533923,39.95464172363281,46.26033096313476,9.118370819091798,526.2114440917969,4.096994,200
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina-pert,oligodendrocyte,0.4317406962785113,0.54947233,0.18,0.7777777777777778,0.14,0.6,0.8633664492223034,32.20076141357422,33.42466506958008,8.403181171417236,250.98491821289062,3.738832,200
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina-pert,oligodendrocyte,0.22957983193277312,0.7605673,0.2,0.8,0.16,0.84,0.9865060240963854,35.22483940124512,35.19155502319336,8.381105709075928,251.64657592773438,3.704857,200
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina-pert,astrocyte,0.8257863145258102,0.7588097,0.22,1.0,0.22,0.92,0.12198978189534264,35.53389015197754,37.136634063720706,9.975938606262208,1241.1353393554687,3.4357169,200
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina-pert,astrocyte,0.55015606242497,0.5553275,0.28,0.8571428571428571,0.24,0.86,0.6297710318763604,35.07718009948731,37.27270278930664,7.666532516479492,654.9370849609375,3.5822258,200
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina-pert,GABAergic neuron,0.8560384153661464,0.92339283,0.38,1.0,0.38,1.0,0.9040160518598549,40.87463531494141,44.936837387084964,10.214364528656006,350.8814392089844,3.090044,200
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina-pert,GABAergic neuron,0.6931572629051621,0.7261958,0.4,0.75,0.3,0.64,0.8209608327831601,41.23889427185058,45.243553161621094,8.241714382171631,329.6206298828125,3.1067982,200
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina-pert,endothelial cell,0.871500600240096,0.9205772,0.68,1.0,0.68,0.94,0.8573264388214057,35.78844223022461,36.636697387695314,8.688959503173828,240.6303466796875,3.46954,200
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina-pert,endothelial cell,0.4799519807923169,0.99430496,0.12,1.0,0.12,0.88,0.9572826879611553,36.260623168945315,36.91641731262207,7.47204360961914,306.00559997558594,3.5330641,200
