sid,model_name,holdout_celltype,n_deg,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca,edistance_pca_log,rmse,mse_lfc
crc_120,baseline,Endothelial_CRC,50,0.5486194477791116,0.4971699226067056,0.1,1.0,0.1,0.98,0.5470598034316175,80.80891303451598,81.67593202146135,427.8056959989673,25.682924549593253,5856.333945692304,23.428992174886325
crc_120,baseline,Epithelial_CRC,50,0.44201680672268906,0.3308871366501699,0.26,0.7692307692307693,0.2,0.64,0.8956501677329242,68.69797850670771,67.79318320072345,1273.103803261543,56.87197425810475,652016.0690780211,100.0271556934689
crc_120,baseline,Fibroblast_CRC,50,0.3782472989195678,0.38597008335000443,0.16,1.0,0.16,0.66,0.6050864471019886,83.59064554826304,83.76156067019507,1151.4764513568844,29.853784277254135,180004.85140953667,26.908051659174617
crc_120,baseline,Myeloid_CRC,50,0.5104921968787515,0.45620022653352005,0.14,1.0,0.14,0.74,0.5027536884870678,81.7590820583947,82.08429695703029,498.723064061791,27.389312383542016,36416.16808532945,28.587861707386747
crc_120,baseline,T_cell_CRC,50,0.8363505402160863,0.7120310036971588,0.12,1.0,0.12,0.96,0.7976383243394627,87.45485740780127,91.05139160894183,307.74838158957004,26.010132162731185,22608.232002139957,30.237885494166125
crc_120,cellina-ablated,Endothelial_CRC,50,0.7231212484993997,0.9636880336818207,0.36,1.0,0.36,0.98,0.6260203231717475,56.89306249846713,54.6472025865567,117.51859697999521,3.425267889930435,5718.071060475585,0.6480609387654522
crc_120,cellina-ablated,Epithelial_CRC,50,0.6901800720288115,0.7914499642510952,0.22,1.0,0.22,0.9,0.9212648692342849,37.39332428512846,34.36216403544269,293.1498590366331,7.555021008956951,629492.2571899373,8.329619361611691
crc_120,cellina-ablated,Fibroblast_CRC,50,0.680576230492197,0.7559998083618238,0.18,1.0,0.18,0.92,0.79330347373194,49.752811153276824,43.65817105316322,136.2968170358778,3.7143096748753153,179093.2714044592,1.0008857626683734
crc_120,cellina-ablated,Myeloid_CRC,50,0.7498199279711883,0.8625961254775424,0.26,1.0,0.26,0.98,0.8487316875066979,52.306796348557974,48.05337081182401,74.3255523923871,3.0413559886426214,35014.13066019112,0.3384530041665295
crc_120,cellina-ablated,T_cell_CRC,50,0.8210804321728691,0.9170002133996825,0.38,1.0,0.38,1.0,0.9367341230033865,65.82554866709403,66.15167303267626,77.21968030146556,3.9604735656652226,22402.15781929419,0.24114229419210062
crc_120,cellina,Endothelial_CRC,50,0.8232893157262905,0.9757729839529014,0.42,1.0,0.42,1.0,0.64576045310678,66.50037874635794,65.53299226773932,130.20782654196893,5.431236920979282,5670.801822590514,0.5090398282108761
crc_120,cellina,Epithelial_CRC,50,0.8278031212484994,0.9444338933528931,0.22,1.0,0.22,1.0,0.9349567153800933,52.7203397049463,49.12689613198799,287.3987458159589,8.901528623245984,626122.1240743538,6.468593843613791
crc_120,cellina,Fibroblast_CRC,50,0.8572869147659063,0.8836850787801136,0.2,1.0,0.2,1.0,0.7337009924752012,60.9975067089527,56.96038010757136,206.27340555791525,6.149950683953645,178697.66534164298,0.7060081067263293
crc_120,cellina,Myeloid_CRC,50,0.8337575030012004,0.924131945913964,0.34,1.0,0.34,1.0,0.8488006405886183,63.29184144717541,59.95925655610897,99.57719273833138,4.948356935937694,34712.51842956482,0.2025263715088212
crc_120,cellina,T_cell_CRC,50,0.8173349339735894,0.946590982172472,0.48,1.0,0.48,1.0,0.8198394515952264,77.66967383944267,77.73686428802192,116.49237254766402,5.949229926057761,22185.456226788596,0.1466369884143603
crc_120,cellina-graph,Endothelial_CRC,50,0.7518367346938776,0.9705934928642884,0.48,1.0,0.48,1.0,0.9986118052085069,67.09631005303211,68.81436451540186,184.4667729693688,7.296862477293049,5649.568693486602,0.2732600742027202
crc_120,cellina-graph,Epithelial_CRC,50,0.8575750300120047,0.9471830209941297,0.46,1.0,0.46,0.98,0.9006403316362992,55.46956656605569,53.47977771322998,304.66762925494277,10.611551969268074,621265.3858866222,3.024616900999241
crc_120,cellina-graph,Fibroblast_CRC,50,0.7593277310924369,0.8023881747936974,0.2,1.0,0.2,0.92,0.765868505954468,64.01506285112447,61.620193113499646,218.77658195031444,8.745565421841757,178571.13235224332,0.7477600349612119
crc_120,cellina-graph,Myeloid_CRC,50,0.7721968787515004,0.8999252508038255,0.34,1.0,0.34,0.98,0.9290359586238047,66.63146126801145,67.07921307172224,185.05304264787696,7.647630616729242,34383.40606180972,0.21055656398987935
crc_120,cellina-graph,T_cell_CRC,50,0.895798319327731,0.8975450251771062,0.4,1.0,0.4,0.94,0.7476924068081473,77.02483901229535,78.9039759708759,180.42211387953512,7.495122323265529,21957.536682428505,0.2442350171771036
crc_120,cpa,Endothelial_CRC,50,0.6382232893157262,0.840426018179952,0.2,1.0,0.2,0.9,0.6311566439002722,43.54273704592925,44.7057354439559,118.79144289405374,3.731839346007196,5839.868624324087,1.1018867366033458
crc_120,cpa,Epithelial_CRC,50,0.506266506602641,0.6407154459112453,0.16,1.0,0.16,0.78,0.8988913903821686,37.33983411468133,34.98431667603816,341.60217175564424,9.455364650748994,627803.9565170736,5.706633553265934
crc_120,cpa,Fibroblast_CRC,50,0.4175270108043217,0.5048142133135383,0.02,1.0,0.02,0.76,0.6694765592141932,40.18243576256236,40.23231914326301,294.31587626724615,4.2689432984844755,179850.51598215464,1.3481623494821429
crc_120,cpa,Myeloid_CRC,50,0.723409363745498,0.7180608076653691,0.18,1.0,0.18,0.78,0.887926983463952,41.21588620742271,42.3673956516694,74.05178467652942,4.09991789681712,35088.165291076686,0.5662995466492631
crc_120,cpa,T_cell_CRC,50,0.5006002400960383,0.6015456625652233,0.18,1.0,0.18,0.72,0.7884515445237115,46.21574619165452,49.34686472752926,115.590016008053,4.194424348192578,23287.246662831127,0.9610931003581108
