celltype,pearson,spearman
Endothelial,0.33911902018529916,0.31494933823733456
Epithelial,0.9796204855862414,0.9463634005908501
Fibroblast,0.44848761760438816,0.43596087999022
Mast_cell,0.13276994656025054,0.17607259445663864
Myeloid,0.3076660812950551,0.24092760773190192
Plasma_cell,0.27242745350343067,0.23533143933285983
Smooth_muscle,0.1927956928553406,0.188487804834
T_cell,0.36214954346462047,0.3151658047914512
