Embedding,Isolated labels,KMeans NMI,KMeans ARI,Silhouette label,cLISI,BRAS,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Cell-type Total,Total
Cellina_Shifted,0.60684633,0.6843599612155905,0.48296245602055804,0.61527044,1.0,0.78140473,0.09463198,0.06131579324312945,0.8913492955977087,0,0.3657403584854833,0.6778878688812255,0.5530288647229287
Cellina_Basal,0.6782334,0.7634734213382076,0.8025992394460106,0.70405066,1.0,0.75854766,0.18914692,0.13230320840988619,0.9773682694853176,0,0.4114732155047305,0.7896713256835938,0.6383920816120484
scVI,0.51476514,0.454931793261715,0.2342046356728741,0.50439644,0.9727982,0.92522585,0.18527855,0.0956152920661882,0.8499967431364366,0.5709760266866009,0.5254184901396859,0.5362192153930664,0.5318989252917141
scVIVA,0.5657107,0.5619067080196758,0.36541768761823407,0.55677897,1.0,0.8238058,0.12309746,0.06952814510861542,0.906893456411607,0,0.38466497797692656,0.609962797164917,0.5198436694897208
Cellina_Spatial,0.4875214,0.16655905572583196,0.08241752814753196,0.48056614,0.783535,0.8048261,0.09791027,0.0763484960364724,0.22758255938422098,0,0.24133348424316575,0.40011982917785643,0.33660529120398014
SCANVI,0.6557981,0.6948590116047697,0.5232452386179733,0.6661752,1.0,0.82067907,0.2673817,0.1372497200395651,0.9826501506939133,0,0.4415921214779335,0.7080154895782471,0.6014461423381217
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
