cell_type,label,pearson,spearman
Endothelial,CRC_global,0.8329,0.8427
Endothelial,CRC4,0.8228,0.7871
Endothelial,CRC1,0.9115,0.8226
Endothelial,CRC3,0.837,0.8463
Endothelial,CRC2,0.7971,0.7038
Epithelial,CRC_global,0.8868,0.8863
Epithelial,CRC4,0.8727,0.7433
Epithelial,CRC1,0.8703,0.8967
Epithelial,CRC3,0.915,0.8882
Epithelial,CRC2,0.9576,0.851
Fibroblast,CRC_global,0.9148,0.8559
Fibroblast,CRC4,0.891,0.8407
Fibroblast,CRC1,0.9664,0.8839
Fibroblast,CRC3,0.8554,0.8171
Fibroblast,CRC2,0.8784,0.7297
Myeloid,CRC_global,0.7605,0.6931
Myeloid,CRC4,0.7964,0.7434
Myeloid,CRC1,0.8814,0.8123
Myeloid,CRC3,0.7567,0.714
Myeloid,CRC2,0.7284,0.5376
T_cell,CRC_global,0.7945,0.5427
T_cell,CRC4,0.8009,0.7407
T_cell,CRC1,0.8831,0.7774
T_cell,CRC3,0.7476,0.5305
T_cell,CRC2,0.765,0.2997
