cell_type,label,pearson,spearman
Endothelial,CRC_global,0.7324,0.7402
Endothelial,CRC1,0.6793,0.6582
Endothelial,CRC3,0.7291,0.7773
Endothelial,CRC2,0.7705,0.7616
Epithelial,CRC_global,0.9288,0.8414
Epithelial,CRC1,0.9165,0.8631
Epithelial,CRC3,0.9685,0.924
Epithelial,CRC2,0.9878,0.9508
Fibroblast,CRC_global,0.8523,0.8703
Fibroblast,CRC1,0.8621,0.888
Fibroblast,CRC3,0.7665,0.8629
Fibroblast,CRC2,0.7593,0.8249
Myeloid,CRC_global,0.5858,0.665
Myeloid,CRC1,0.6052,0.5878
Myeloid,CRC3,0.5368,0.5982
Myeloid,CRC2,0.6473,0.7116
T_cell,CRC_global,0.8694,0.7474
T_cell,CRC1,0.7559,0.6879
T_cell,CRC3,0.8239,0.754
T_cell,CRC2,0.8728,0.8249
