holdout_celltype,pearson,spearman,precision,model_name,sid,edistance_cells,edistance_latents
Fibroblast,0.8296175497836128,0.616998799519808,0.52,mintflow,232,0,0
Endothelial,0.602416628987147,0.5182713085234093,0.44,mintflow,232,0,0
Myeloid,-0.07939114686862515,0.21421368547418965,0.5,mintflow,232,0,0
T_cell,0.6086051113176546,0.6780792316926769,0.3,mintflow,232,0,0
Epithelial,0.5375213562512423,0.5817527010804322,0.32,mintflow,232,0,0
