cell_type,label,pearson,spearman
Endothelial,CRC_global,0.8338,0.7293
Endothelial,CRC1,0.8299,0.7912
Endothelial,CRC2,0.905,0.8074
Epithelial,CRC_global,0.5522,0.5195
Epithelial,CRC1,0.7411,0.7473
Epithelial,CRC2,0.6444,0.6275
Fibroblast,CRC_global,0.7551,0.7277
Fibroblast,CRC1,0.8815,0.8692
Fibroblast,CRC2,0.6261,0.6935
Myeloid,CRC_global,0.7385,0.6464
Myeloid,CRC1,0.8997,0.8639
Myeloid,CRC2,0.6176,0.4265
T_cell,CRC_global,0.7611,0.7317
T_cell,CRC1,0.9071,0.8786
T_cell,CRC2,0.4403,0.4351
