dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse,mse_lfc
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,cellina,glutamatergic neuron,0.8816806722689075,0.95750743,0.56,1.0,0.56,0.98,0.4588581678816787,40.58198127746582,43.69868049621582,9.713002395629882,354.58282165527345,14243.452,9.655522
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,cellina,glutamatergic neuron,0.7655702280912365,0.91045624,0.52,1.0,0.52,1.0,0.26804908904377206,40.63996467590332,44.968223571777344,11.062028217315675,536.5313354492188,12257.536,7.0461397
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,cellina,oligodendrocyte,0.571188475390156,0.50338465,0.38,0.9473684210526315,0.36,0.76,0.8138466075661082,34.85414123535156,35.44851913452148,7.972752475738526,232.50763244628905,6878.555,96.83432
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,cellina,oligodendrocyte,0.4699639855942377,0.6459661,0.3,1.0,0.3,0.9,0.9314701254328251,34.60643844604492,34.45096626281738,7.862454128265381,201.20989685058595,6984.807,16.328157
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,cellina,astrocyte,0.8986794717887154,0.8935564,0.58,1.0,0.58,0.98,0.5742358846969933,35.464752960205075,33.95550880432129,6.643342018127441,267.46364135742186,3098.4678,9.340409
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,cellina,astrocyte,0.32974789915966385,0.48416987,0.36,0.8888888888888888,0.32,0.72,0.5701771977738155,34.872628402709964,34.93984413146973,6.415930461883545,526.7332336425782,3790.9138,120.666824
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,cellina,GABAergic neuron,0.9393997599039615,0.97551346,0.62,1.0,0.62,1.0,0.6924413553431799,41.480413818359374,45.24634971618652,9.453528022766113,392.23011169433596,1295.155,4.7080545
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,cellina,GABAergic neuron,0.887250900360144,0.9165965,0.7,1.0,0.7,0.98,0.8668478260869564,39.462697219848636,43.39468498229981,8.635788440704346,632.337841796875,853.08514,10.449967
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,cellina,endothelial cell,0.9043457382953181,0.92729723,0.68,1.0,0.68,0.98,0.7860125191999604,33.44789352416992,34.115604400634766,7.272996807098389,211.27481689453126,2816.608,20.246593
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,cellina,endothelial cell,0.7533733493397358,0.99447703,0.14,1.0,0.14,0.88,0.7636015520425625,32.27728099822998,32.034023666381835,6.5551811218261715,286.9142242431641,3936.1013,280.44055
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,cellina-ablated,glutamatergic neuron,0.8218487394957983,0.9121721,0.34,1.0,0.34,0.94,0.011307629596489182,35.489467239379884,48.97122917175293,22.295083427429198,983.0904113769532,17367.926,25.840094
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,cellina-ablated,glutamatergic neuron,0.6630972388955582,0.75076777,0.28,1.0,0.28,0.98,0.4382247454417915,35.291093063354495,46.63105354309082,17.70655937194824,987.4633056640625,9978.816,19.436092
