cell_type,label,pearson,spearman
Endothelial,CRC_global,0.8181,0.8015
Endothelial,CRC1,0.8176,0.8009
Epithelial,CRC_global,0.79,0.7147
Epithelial,CRC1,0.7901,0.7149
Fibroblast,CRC_global,0.8175,0.8172
Fibroblast,CRC1,0.8159,0.8171
Myeloid,CRC_global,0.8509,0.8189
Myeloid,CRC1,0.8521,0.8199
T_cell,CRC_global,0.8986,0.8261
T_cell,CRC1,0.8988,0.8263
