,Fibroblast,Myeloid,Epithelial,T_cell,Smooth_muscle,Endothelial,Plasma_cell,Mast_cell
pearson,0.4982270142275721,0.4303349034975701,0.9722378495383358,0.5582534547904834,0.327147846589921,0.3525094751738498,0.37974187467111586,0.19549639405418034
spearman,0.4206494536623634,0.33777368744342184,0.9281615740403935,0.4346899463354953,0.25773898147470176,0.2948334827083707,0.2474546448636612,0.18765168092956908
