sid,model_name,holdout_celltype,n_deg,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse,mse_lfc
C57BL6J-2.036,baseline,GABAergic neuron_Fiber_tracts,50,0.5747829453766554,0.6767534017562866,0.0,0.0,0.0,0.08,0.019021739130434784,42.347550582885745,43.229743576049806,27.050253105163574,1522.1217895507812,613.618408203125,398.2930908203125
C57BL6J-2.036,baseline,GABAergic neuron_Isocortex,50,0.6562969673530293,0.6728872060775757,0.2,0.9,0.18,0.6,0.2936576889661164,48.11007499694824,52.50192146301269,29.387819290161133,1118.6183715820312,1490.1943359375,180.1994171142578
C57BL6J-2.036,baseline,astrocyte_Fiber_tracts,50,0.30195202774676366,0.3540131747722626,0.18,1.0,0.18,0.82,0.06970014086852312,38.6577751159668,37.84070091247558,17.100988388061523,1407.8420043945312,1868.8770751953125,152.41355895996094
C57BL6J-2.036,baseline,astrocyte_Isocortex,50,0.7748565393959572,0.7152607440948486,0.26,1.0,0.26,0.84,0.0,64.6021339416504,66.65721893310547,36.88513832092285,2111.27373046875,2971.76025390625,154.59823608398438
C57BL6J-2.036,baseline,endothelial cell_Fiber_tracts,50,0.7423151030583237,0.6626921892166138,0.06,1.0,0.06,0.86,0.0032362459546925564,43.56898307800293,43.79490737915039,21.782019233703615,1866.0057495117187,1668.5394287109375,96.19873809814453
C57BL6J-2.036,baseline,endothelial cell_Isocortex,50,0.7069855893258635,0.7114426493644714,0.3,1.0,0.3,0.7,0.00883280757097792,63.09715347290039,65.9859001159668,32.989824295043945,2117.2861450195314,2046.428955078125,163.80303955078125
C57BL6J-2.036,baseline,glutamatergic neuron_Fiber_tracts,50,0.2167106842737095,0.10829062759876251,0.1,1.0,0.1,0.3,0.9480403454481892,45.71412963867188,45.58447074890137,30.847026824951172,1308.6182006835938,4988.2451171875,293.9560241699219
C57BL6J-2.036,baseline,glutamatergic neuron_Isocortex,50,0.46468187274909956,0.47983452677726746,0.26,0.9230769230769231,0.24,0.74,0.008706166868198308,52.57396278381348,57.04909057617188,36.30237884521485,940.6777465820312,16049.1962890625,172.51251220703125
C57BL6J-2.036,baseline,oligodendrocyte_Fiber_tracts,50,0.2819207683073229,0.3467221260070801,0.24,1.0,0.24,0.9,0.02644142489900845,46.319190979003906,47.38285827636719,17.654286193847657,2057.5488525390624,2057.15380859375,118.02001190185547
C57BL6J-2.036,baseline,oligodendrocyte_Isocortex,50,0.5659063625450179,0.39681196212768555,0.16,1.0,0.16,0.9,0.10408432147562584,61.0333854675293,64.37157554626465,31.050720405578613,2445.424365234375,4868.89794921875,141.36936950683594
C57BL6J-2.036,cellina-ablated,GABAergic neuron_Fiber_tracts,50,0.8224249699879952,0.9109387993812561,0.6,1.0,0.6,0.98,0.8641304347826086,32.08834819793701,36.103600311279294,8.06480360031128,635.25712890625,920.6806030273438,13.055380821228027
C57BL6J-2.036,cellina-ablated,GABAergic neuron_Isocortex,50,0.9156782713085234,0.9431757926940918,0.58,1.0,0.58,1.0,0.5606314202483773,35.56512870788574,42.67367668151856,10.837314128875732,434.795361328125,1440.6448974609375,10.275843620300293
C57BL6J-2.036,cellina-ablated,astrocyte_Fiber_tracts,50,0.3186074429771909,0.5158753991127014,0.28,0.8571428571428571,0.24,0.74,0.6037498495903387,28.816482162475587,29.955521392822266,6.214462184906006,434.1847290039062,3784.613525390625,117.58428955078125
C57BL6J-2.036,cellina-ablated,astrocyte_Isocortex,50,0.8874429771908763,0.8855072259902954,0.52,1.0,0.52,0.98,0.9540112818920458,29.670825004577637,30.021436309814455,5.4547466278076175,198.73759765625,3022.2978515625,10.432583808898926
C57BL6J-2.036,cellina-ablated,endothelial cell_Fiber_tracts,50,0.6746218487394957,0.994007408618927,0.12,1.0,0.12,0.76,0.9539216184618512,29.408161926269532,30.311600112915038,5.595926761627197,205.9262664794922,3858.561767578125,291.0486145019531
C57BL6J-2.036,cellina-ablated,endothelial cell_Isocortex,50,0.9071308523409364,0.9290761351585388,0.66,1.0,0.66,0.96,0.9215279039423919,31.243850708007812,31.214999389648437,5.225676441192627,117.36934814453124,2745.392822265625,20.911535263061523
C57BL6J-2.036,cellina-ablated,glutamatergic neuron_Fiber_tracts,50,0.6607923169267707,0.7628965973854065,0.36,1.0,0.36,0.98,0.35847980252269496,34.995300674438475,46.44241142272949,17.360136604309083,862.2038940429687,10526.87890625,16.716136932373047
C57BL6J-2.036,cellina-ablated,glutamatergic neuron_Isocortex,50,0.8289555822328931,0.9358782768249512,0.36,1.0,0.36,0.98,0.023066148534641204,35.6550350189209,47.94262924194336,19.16725025177002,817.1770935058594,16405.19140625,21.11840057373047
C57BL6J-2.036,cellina-ablated,oligodendrocyte_Fiber_tracts,50,0.3701800720288115,0.7025454640388489,0.12,1.0,0.12,0.9,0.7081860503459224,27.340457916259766,27.796974182128906,7.046276092529297,157.82137451171874,6366.744140625,20.054481506347656
C57BL6J-2.036,cellina-ablated,oligodendrocyte_Isocortex,50,0.5939495798319328,0.5175655484199524,0.46,0.9565217391304348,0.44,0.76,0.8233742124729415,27.276937866210936,28.005229949951172,5.591442489624024,106.58106079101563,6535.837890625,97.86730194091797
C57BL6J-2.036,cellina,GABAergic neuron_Fiber_tracts,50,0.9379591836734693,0.9268542528152466,0.78,1.0,0.78,0.98,0.8742007672634271,35.6804931640625,41.13733139038086,7.277032852172852,484.6492004394531,801.6226806640625,8.770560264587402
C57BL6J-2.036,cellina,GABAergic neuron_Isocortex,50,0.9431452581032412,0.9794134497642517,0.64,1.0,0.64,1.0,0.6889661164205039,41.38967933654785,46.02684097290039,8.64268913269043,404.36089782714845,1263.779541015625,3.862715244293213
C57BL6J-2.036,cellina,astrocyte_Fiber_tracts,50,0.3327250900360144,0.48209115862846375,0.42,0.9047619047619048,0.38,0.68,0.628695367868607,32.91210784912109,34.27541809082031,5.59148473739624,382.00615844726565,3718.003173828125,121.27864074707031
C57BL6J-2.036,cellina,astrocyte_Isocortex,50,0.9034813925570228,0.894418478012085,0.54,1.0,0.54,0.96,0.5478548879573566,36.94502182006836,35.9407455444336,6.9716894149780275,298.3700714111328,3115.4638671875,9.294144630432129
C57BL6J-2.036,cellina,endothelial cell_Fiber_tracts,50,0.7546218487394958,0.9936398863792419,0.14,1.0,0.14,0.86,0.7901819752960911,31.81661911010742,32.50294456481934,6.416701889038086,265.0710113525391,3918.341796875,284.5398254394531
C57BL6J-2.036,cellina,endothelial cell_Isocortex,50,0.9098199279711884,0.9305684566497803,0.7,1.0,0.7,0.98,0.862833005764117,33.98798370361328,34.558105850219725,6.673654460906983,193.8358642578125,2775.978271484375,19.916885375976562
C57BL6J-2.036,cellina,glutamatergic neuron_Fiber_tracts,50,0.8379831932773109,0.9443346261978149,0.6,1.0,0.6,1.0,0.9962055232409797,36.353401565551756,41.72261695861816,7.816963577270508,294.4606018066406,11514.5087890625,3.1700055599212646
C57BL6J-2.036,cellina,glutamatergic neuron_Isocortex,50,0.915486194477791,0.9799531698226929,0.64,1.0,0.64,1.0,0.4643142109057729,38.85013122558594,41.657069778442384,6.962832927703857,232.7704071044922,12370.0185546875,4.319006443023682
C57BL6J-2.036,cellina,oligodendrocyte_Fiber_tracts,50,0.49589435774309715,0.6641515493392944,0.38,1.0,0.38,0.9,0.8645573266644481,33.12062587738037,33.6680965423584,7.16057071685791,177.89699096679686,6981.5546875,15.414494514465332
C57BL6J-2.036,cellina,oligodendrocyte_Isocortex,50,0.5828091236494598,0.5089103579521179,0.44,0.9545454545454546,0.42,0.76,0.9208642349719244,34.470537185668945,35.09389038085938,7.5761748313903805,211.9709442138672,6836.74609375,97.4305648803711
C57BL6J-2.036,cellina-graph,GABAergic neuron_Fiber_tracts,50,0.8881152460984393,0.9209879636764526,0.7,1.0,0.7,0.98,0.8668478260869564,40.8128360748291,45.291466522216794,9.048560428619385,647.0365905761719,815.3378295898438,9.729057312011719
C57BL6J-2.036,cellina-graph,GABAergic neuron_Isocortex,50,0.9396878751500599,0.9808308482170105,0.6,1.0,0.6,1.0,0.6909049675474012,44.56857872009277,48.80504722595215,11.6715651512146,499.4305786132812,1239.7591552734375,3.634737014770508
C57BL6J-2.036,cellina-graph,astrocyte_Fiber_tracts,50,0.3506842737094838,0.4980476498603821,0.42,0.9047619047619048,0.38,0.7,0.7355074973898605,35.345668411254884,37.04917755126953,5.950417709350586,366.09955139160155,3527.3740234375,119.25296783447266
C57BL6J-2.036,cellina-graph,astrocyte_Isocortex,50,0.9191356542617046,0.9121586680412292,0.66,1.0,0.66,0.98,0.9385602649692076,35.640913009643555,35.07022666931152,7.372206306457519,217.3637237548828,2905.9140625,7.362884521484375
C57BL6J-2.036,cellina-graph,endothelial cell_Fiber_tracts,50,0.6906602641056422,0.9931581616401672,0.14,1.0,0.14,0.76,0.7047137362544265,35.48537483215332,36.718377685546876,6.8637847900390625,342.3678741455078,3939.38134765625,288.7926330566406
C57BL6J-2.036,cellina-graph,endothelial cell_Isocortex,50,0.9130852340936374,0.9370959997177124,0.76,1.0,0.76,0.96,0.8141328224354634,38.36748275756836,40.380662536621095,8.614028358459473,265.52772216796876,2696.01708984375,18.193161010742188
