sid,model_name,holdout_celltype,n_deg,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca,edistance_pca_log,rmse,mse_lfc,nb_deviance
crc_120,baseline,Endothelial_CRC,50,0.571860744297719,0.5510044158299617,0.1,1.0,0.1,0.98,0.5405908157032595,81.28265689624564,82.96114827331367,362.74882925762404,22.23951358510246,5851.174053333288,12.837271617940589,0.6504231424307569
crc_120,baseline,Epithelial_CRC,50,0.43270108043217287,0.31753956474883427,0.2,0.8,0.16,0.64,0.8960866474615585,65.58219472424467,66.30689425489352,981.3719741088429,51.017481328478844,650873.9435963255,33.15110230919495,0.7251139040654825
crc_120,baseline,Fibroblast_CRC,50,0.3626890756302521,0.391688164644052,0.16,1.0,0.16,0.64,0.6055969955521711,83.39472395106051,83.96773339033538,929.8186998468893,24.598781166081295,179619.29516054693,11.690495644305651,0.4996584735459319
crc_120,baseline,Myeloid_CRC,50,0.49320528211284514,0.4818376138022475,0.14,1.0,0.14,0.72,0.5043944296913944,81.40696200180815,81.11477932252197,386.495579896352,22.83067560474564,36229.93826235779,11.068007642587808,0.5792551051410044
crc_120,baseline,T_cell_CRC,50,0.826938775510204,0.7133681357884032,0.12,1.0,0.12,0.96,0.7848281835565871,88.39038059662818,93.43997303911304,226.53382857213143,22.34677567380878,22622.722117796213,18.987500292480448,0.5434886868277523
crc_120,cellina,Endothelial_CRC,50,0.8357743097238894,0.9829639345431228,0.44,1.0,0.44,1.0,0.6715531123327225,69.47909459914625,69.73601526680854,156.25646877851054,6.106455361303427,5657.93775545291,0.3812405086836593,0.014631930510540998
crc_120,cellina,Epithelial_CRC,50,0.8202160864345738,0.9512425365027715,0.38,1.0,0.38,1.0,0.9854745781735192,59.169706839020684,55.28452178490903,318.8721493664308,9.829142418395122,622621.1789781639,4.158145180401462,0.08612854574388538
crc_120,cellina,Fibroblast_CRC,50,0.6609843937575028,0.7116362345702804,0.24,1.0,0.24,0.86,0.6522297679355021,64.52483444988704,63.89804336106697,305.02001845040587,7.200997638233725,178593.8960374704,1.0096599738235283,0.007647562426206407
crc_120,cellina,Myeloid_CRC,50,0.7930372148859544,0.9215463795049513,0.44,1.0,0.44,0.98,0.903796903613617,65.64436208816649,65.2413637733294,146.94431316967854,5.711774096090688,34590.19945839074,0.20558217213358998,0.007614903683706062
crc_120,cellina,T_cell_CRC,50,0.841344537815126,0.9542344142178449,0.52,1.0,0.52,1.0,0.8368710817655427,78.41028874577076,78.97768518998859,131.27870020170806,6.846371561695835,22114.97494405758,0.11995702420418508,0.006484920016305735
