dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse,mse_lfc,top_n_perturb,nb_deviance
crc,crc_120,REF,CRC,50,cellina-pert,Endothelial,0.8091716686674669,0.9547165799489259,0.32,1.0,0.32,0.98,0.5779332555944251,76.78341203465219,75.43600308112387,4.6689742207744445,221.64493839166533,5706.167818843139,1.1786864647295017,200,0.024044664091813252
crc,crc_120,REF,CRC,50,cellina-pert,Epithelial,0.8338535414165665,0.9508422322495375,0.56,1.0,0.56,1.0,0.8968656920465182,53.910873960897085,51.39257939007903,8.0269892135007,221.7339623791325,623620.4507927528,4.871323426484932,200,0.07422822754071347
crc,crc_120,REF,CRC,50,cellina-pert,Fibroblast,0.803313325330132,0.9071258128436984,0.36,1.0,0.36,0.98,0.6947606369086755,63.40041560429764,61.65360500521418,7.261850959726142,253.91695954340668,178531.7914731914,0.5331116542612356,200,0.006929904642980565
crc,crc_120,REF,CRC,50,cellina-pert,Myeloid,0.7925570228091235,0.8158967847860228,0.16,1.0,0.16,0.92,0.7351369948164745,69.94614516048225,68.72592598980657,5.241370218952407,173.88928090738895,34942.8675212444,0.4266414540913272,200,0.008916435309759012
crc,crc_120,REF,CRC,50,cellina-pert,T_cell,0.8356782713085233,0.8875857109196557,0.42,1.0,0.42,0.96,0.7910859428949605,81.26210386796126,83.70418797643272,5.088956445386143,120.12721892936261,22489.714025490634,0.26178709072036843,200,0.007663739542075586
crc,crc_210,REF,CRC,50,cellina-pert,Endothelial,0.9122208883553421,0.9926550360472721,0.64,1.0,0.64,1.0,0.9726962677487404,69.5651303187174,71.34233058208322,9.421491212152066,183.97985531139744,5940.329595765734,1.1492135208949579,200,0.020021347434481578
crc,crc_210,REF,CRC,50,cellina-pert,Epithelial,0.7727731092436975,0.9012097716383657,0.64,1.0,0.64,1.0,0.7917733211626521,57.85904918092531,59.544057363987214,9.500581276545764,538.160232644686,239401.66728613744,4.969834778774287,200,0.09421011486145955
crc,crc_210,REF,CRC,50,cellina-pert,Fibroblast,0.6320768307322928,0.9527830781925505,0.24,1.0,0.24,0.98,0.7068707844594763,61.33454270554223,61.229681711235266,8.727327540381742,378.02642315821674,42416.929030497675,1.1113681971057454,200,0.03398656036359478
crc,crc_210,REF,CRC,50,cellina-pert,Myeloid,0.641296518607443,0.6986587089655744,0.22,1.0,0.22,0.84,0.8365990914638279,66.29057206849237,64.61729884252148,10.80114935102727,269.38890621979647,21083.746252453537,3.7759338720866453,200,0.011394643159428485
crc,crc_210,REF,CRC,50,cellina-pert,T_cell,0.7223529411764705,0.9397666983477738,0.42,1.0,0.42,1.0,0.9052983441859656,69.03814765812848,70.90501222238032,10.865743265896509,208.02101869657145,6714.186833319238,0.4945880255159362,200,0.010497647516452137
crc,crc_221,REF,CRC,50,cellina-pert,Endothelial,0.7518367346938776,0.7733336350488513,0.86,1.0,0.86,1.0,0.789980552394038,65.72649618559701,55.7902120521354,10.548184925591544,327.3369405883905,2080.081915399155,0.3001312379777642,200,0.0509868240317736
crc,crc_221,REF,CRC,50,cellina-pert,Epithelial,0.5789675870348139,0.8676705185329843,0.22,1.0,0.22,0.94,0.7813497783762365,47.19983934389339,49.63620124893094,9.33527436777672,325.6817274861551,104629.31972899896,5.427305328429145,200,0.15738885455877652
crc,crc_221,REF,CRC,50,cellina-pert,Fibroblast,0.8015846338535414,0.9244257295492112,0.38,1.0,0.38,1.0,0.5774643372335311,73.63803503648847,78.14527832019783,9.62353193767197,641.9450517244662,51854.4120512962,1.3089447598374742,200,0.07838651732564496
crc,crc_221,REF,CRC,50,cellina-pert,Myeloid,0.5974069627851141,0.7052698255829998,0.78,1.0,0.78,1.0,0.9864425010733735,60.681839820805656,63.87871052156346,8.710179780122449,189.01732846167388,1377.3285688447927,0.30303510466386646,200,0.0503663326199642
crc,crc_221,REF,CRC,50,cellina-pert,T_cell,0.8247298919567827,0.944981731393592,0.38,1.0,0.38,1.0,0.9892857142857143,65.16521007589594,52.56247743997981,11.11741030333106,249.9847011762858,5762.425125729047,0.6116213210349087,200,0.014393356576523254
crc,crc_231,REF,CRC,50,cellina-pert,Endothelial,0.8045618247298919,0.962671650494207,0.6,1.0,0.6,1.0,0.8913199593370825,94.12094001788219,99.31584384004125,9.701764455067122,182.91945296673413,4954.552924067505,1.4688424600056678,200,0.0014306167963276408
crc,crc_231,REF,CRC,50,cellina-pert,Epithelial,0.7637454981992796,0.9182365737712785,0.5,1.0,0.5,1.0,0.9729552101262929,70.42693388062284,73.21303909323379,6.680068753789913,186.1689937238629,101631.7446572575,4.09379596305754,200,0.015379776019272973
crc,crc_231,REF,CRC,50,cellina-pert,Fibroblast,0.28489795918367344,0.3171783217680255,0.12,0.8333333333333334,0.1,0.58,0.9195610615994861,89.86941244394276,96.33351221826922,8.614477772832684,164.67166649688562,40811.41555764026,1.1669393557051941,200,0.0011742429325877
crc,crc_231,REF,CRC,50,cellina-pert,Myeloid,0.6180552220888355,0.7517895548612252,0.18,1.0,0.18,0.88,0.9210327549548747,84.66245002138912,87.41194248536121,8.523604716295461,196.69032885645896,13109.523964577496,1.397777826660682,200,0.002239838258555467
crc,crc_231,REF,CRC,50,cellina-pert,T_cell,0.5786794717887155,0.6757024623629589,0.28,1.0,0.28,0.8,0.9742638534662648,95.96941503396259,104.39921969356676,7.2537376636050315,133.65738722982204,19492.612580000805,1.1061377255995837,200,0.001106703504644805
crc,crc_232,REF,CRC,50,cellina-pert,Endothelial,0.7516446578631452,0.8002269148445326,0.36,1.0,0.36,0.92,0.7352097912528895,99.09537779825571,107.88306870104047,7.49987020901669,174.7624098317349,7282.742558530586,0.9309074626477095,200,0.006375844619937442
crc,crc_232,REF,CRC,50,cellina-pert,Epithelial,0.5998079231692677,0.46731768416293507,0.12,1.0,0.12,0.8,0.7579109008734094,82.29121034933537,84.66556101036623,8.907029646804725,290.1929224234867,48423.69524254728,5.447856179481249,200,0.028514320364246917
crc,crc_232,REF,CRC,50,cellina-pert,Fibroblast,0.7524129651860745,0.798725585647367,0.16,1.0,0.16,0.9,0.6615124426189901,92.92133772169421,98.69579300957659,7.00519384406323,553.353342856482,28069.27624982042,2.6417063025341876,200,0.03130133379844298
crc,crc_232,REF,CRC,50,cellina-pert,Myeloid,0.899735894357743,0.9449549771426441,0.48,1.0,0.48,1.0,0.853996852622158,85.00661673086749,89.54011583320559,9.886557306496787,230.81045239372898,3415.6383368986717,0.5956428304388289,200,0.012849358653033266
crc,crc_232,REF,CRC,50,cellina-pert,T_cell,0.7963025210084033,0.9514333131654894,0.36,1.0,0.36,0.98,0.9942713927676334,101.21577899667376,108.66289203158655,7.07854281316993,148.06781451387906,6798.678438789919,1.053842463457104,200,0.0015177212421069932
crc,crc_242,REF,CRC,50,cellina-pert,Endothelial,0.7198559423769507,0.8735920866774565,0.26,1.0,0.26,1.0,0.49098387292830015,74.87916885959037,76.01547371750102,7.370223501421104,218.79707798804316,3061.642432496418,2.1111752390704384,200,0.029625968008551908
crc,crc_242,REF,CRC,50,cellina-pert,Epithelial,0.6162304921968788,0.6931569207635483,0.32,0.9375,0.3,0.92,0.6624306551820499,63.79197213772845,66.98449250100249,11.528096199847699,369.0776001552073,82136.66274824558,11.213818442367778,200,0.03920013779744509
crc,crc_242,REF,CRC,50,cellina-pert,Fibroblast,0.8454741896758703,0.8957653615141941,0.52,1.0,0.52,1.0,0.6073296166720469,71.55922983488475,68.77229028231935,7.386373652248375,458.6399272232194,30867.357639529302,1.111917637332561,200,0.036846263193676634
crc,crc_242,REF,CRC,50,cellina-pert,Myeloid,0.7556782713085234,0.886381277187749,0.5,1.0,0.5,0.98,0.8916478845164656,63.11999322103478,63.763364898473625,6.949800610490604,239.27573220609935,5281.274942154205,1.249239899636825,200,0.02070757717274728
crc,crc_242,REF,CRC,50,cellina-pert,T_cell,0.8643937575030012,0.9104137058533937,0.4,1.0,0.4,1.0,0.7454377241439635,86.21750762914237,90.54608734721003,6.527411164263737,137.53959056560507,18829.25387015588,0.4403317078236488,200,0.003986330468143654
crc,crc_120,REF,CRC,50,cellina-gat-pert,Endothelial,0.7681632653061223,0.9773469723392368,0.46,1.0,0.46,1.0,0.6965961463712589,68.04753075180983,68.84166173751392,5.853735119929996,145.65788819533051,5656.145722929493,0.4455910070137727,200,0.014963761354807379
crc,crc_120,REF,CRC,50,cellina-gat-pert,Epithelial,0.710828331332533,0.7695730544501289,0.08,1.0,0.08,0.86,0.9046675536125957,56.154509796048785,53.11596324805877,11.300265118555007,424.8833524090419,627808.6052174649,7.937697047173543,200,0.09166617654226465
crc,crc_120,REF,CRC,50,cellina-gat-pert,Fibroblast,0.7808403361344537,0.7872621566921586,0.16,0.875,0.14,0.94,0.7380306301471341,62.92087644646985,62.61609298828125,7.964436520727526,241.59909111133146,178675.33270498042,0.7529142327039219,200,0.009490285330194765
crc,crc_120,REF,CRC,50,cellina-gat-pert,Myeloid,0.7996638655462185,0.8546740876378423,0.28,1.0,0.28,0.98,0.8724625518224063,65.36918723390394,64.01020487773859,6.414315908638661,176.0657785827046,34729.55366374972,0.2927340171154354,200,0.009569669527666927
crc,crc_120,REF,CRC,50,cellina-gat-pert,T_cell,0.8233853541416566,0.9231596143606821,0.4,1.0,0.4,0.98,0.8919073311088979,75.965304734764,77.84549906170717,7.189790562973935,124.01351374615918,22145.17396548422,0.20021870000601363,200,0.007597278902175858
crc,crc_210,REF,CRC,50,cellina-gat-pert,Endothelial,0.9189435774309724,0.9942017343495653,0.66,1.0,0.66,1.0,0.6473846930513212,72.3574263514864,76.98876649620101,7.772755798988411,152.03685789251162,5974.236415514715,0.8865672781157421,200,0.01748566089930505
crc,crc_210,REF,CRC,50,cellina-gat-pert,Epithelial,0.797358943577431,0.862720799076805,0.3,1.0,0.3,0.96,0.7876149253622589,68.38762184869621,69.76792629934545,7.572596614912818,623.9459980727711,242082.127882267,5.1409737665940405,200,0.1103088704040141
crc,crc_210,REF,CRC,50,cellina-gat-pert,Fibroblast,0.7223529411764705,0.9464742133176867,0.38,1.0,0.38,1.0,0.74794640384338,65.00691354794756,67.0493287717733,6.499484280492095,310.8677102807768,42647.39156931883,1.5492920391967646,200,0.03368831085402678
crc,crc_210,REF,CRC,50,cellina-gat-pert,Myeloid,0.7959183673469388,0.8618823296720752,0.36,1.0,0.36,0.96,0.8367007932741202,69.7269530141755,73.63730382495626,8.783674328947493,215.9556902994923,20789.04473310489,2.1062428195268743,200,0.008357613423320278
crc,crc_210,REF,CRC,50,cellina-gat-pert,T_cell,0.8263625450180071,0.9525886042706238,0.46,1.0,0.46,1.0,0.914644644187921,74.50330563213308,81.37388106529883,8.407036741690227,168.63840025479786,7157.541158597321,0.583916053845347,200,0.009940988479734226
crc,crc_221,REF,CRC,50,cellina-gat-pert,Endothelial,0.4237695078031212,0.4276591476684628,0.88,1.0,0.88,1.0,0.7380465580471732,79.18798972827348,86.41164070789975,5.3762453341278285,184.415760080059,2213.2785780253776,0.2715166245154925,200,0.05956957804472783
crc,crc_221,REF,CRC,50,cellina-gat-pert,Epithelial,0.7593277310924369,0.8958188716918686,0.06,1.0,0.06,0.96,0.7500553637725526,64.27204288286968,65.78953225070269,8.456812587255794,531.564372744768,104787.11455165854,5.396631743590436,200,0.1780472719005445
crc,crc_221,REF,CRC,50,cellina-gat-pert,Fibroblast,0.7655702280912365,0.8930098562839078,0.32,1.0,0.32,1.0,0.5792164409125042,76.63931985678272,79.97234874301621,7.223249494324898,509.15467823611533,52006.52220967746,2.0402759886595763,200,0.08592386759135548
crc,crc_221,REF,CRC,50,cellina-gat-pert,Myeloid,0.6240096038415366,0.6588159515339505,0.78,1.0,0.78,1.0,0.915662214991074,68.91719315378968,71.03828049499467,6.049228007186569,162.13565875660964,1435.8414721568236,0.17067476146486457,200,0.05219233934383138
crc,crc_221,REF,CRC,50,cellina-gat-pert,T_cell,0.7674909963985593,0.9346624354074909,0.58,1.0,0.58,1.0,0.8019634933344771,83.93894707360637,90.63778945078474,6.327668760608669,137.13798947680795,7023.728020165146,0.7138497250139316,200,0.013715602350533497
crc,crc_231,REF,CRC,50,cellina-gat-pert,Endothelial,0.7721968787515004,0.9616337545002269,0.58,1.0,0.58,1.0,0.8872555328614197,91.73490926943133,96.59778160689164,8.139335505145612,147.6417314826489,4869.100433135501,1.4999563535226847,200,0.0014392338055552387
crc,crc_231,REF,CRC,50,cellina-gat-pert,Epithelial,0.6950780312124849,0.7605616038418723,0.36,1.0,0.36,0.96,0.8946699993257429,71.68538186028958,73.47109724693463,7.126375023478657,219.8309198660876,101297.20055349321,4.079824220555406,200,0.01698420077559003
crc,crc_231,REF,CRC,50,cellina-gat-pert,Fibroblast,0.5901080432172868,0.6760536193929358,0.24,1.0,0.24,0.78,0.9218253435442123,90.2968372790248,96.51431467799685,5.78049452688577,147.0631589334109,41529.46905395512,0.8406248534910387,200,0.0007113205019358338
crc,crc_231,REF,CRC,50,cellina-gat-pert,Myeloid,0.6733733493397358,0.8007620174183772,0.14,1.0,0.14,0.92,0.9396895490432222,77.83390413460276,79.54142420957206,7.890480083935758,169.42159169400549,13289.948602570097,1.314089564146327,200,0.0019684990829947923
crc,crc_231,REF,CRC,50,cellina-gat-pert,T_cell,0.7433853541416565,0.8141662672500746,0.28,1.0,0.28,0.92,0.9964509810245136,94.20927152092699,102.70066264647153,6.4415039399461405,111.02053406350146,19456.972555771237,0.8233590239492748,200,0.000858608769636255
crc,crc_232,REF,CRC,50,cellina-gat-pert,Endothelial,0.797358943577431,0.8259200389986965,0.36,1.0,0.36,0.92,0.7479704765357255,94.40469413159585,102.08070136957534,7.384095109961971,163.33408396582814,6972.444118123942,0.9763950987306386,200,0.0050766466665643495
crc,crc_232,REF,CRC,50,cellina-gat-pert,Epithelial,0.6800960384153661,0.705167548066634,0.12,1.0,0.12,0.8,0.6945134035250714,82.88278739915822,89.92149095069121,9.556303479171467,260.5043819400822,47704.775207652805,4.2486685236154855,200,0.031306625967074495
crc,crc_232,REF,CRC,50,cellina-gat-pert,Fibroblast,0.5884753901560623,0.689335106076582,0.08,1.0,0.08,0.78,0.6565353950229524,88.88423138892966,95.44479037666765,7.369874964902294,609.128735060477,28184.962057718283,2.868423118391516,200,0.03562648386122491
crc,crc_232,REF,CRC,50,cellina-gat-pert,Myeloid,0.8940696278511404,0.8765324061722349,0.36,1.0,0.36,0.98,0.8576954541827729,83.25820163065444,84.40523211962827,6.620551690529394,201.81358296963128,3931.9329823928747,1.3920138811019296,200,0.014735690068111108
crc,crc_232,REF,CRC,50,cellina-gat-pert,T_cell,0.8355822328931573,0.949536621128247,0.34,1.0,0.34,0.96,0.9949874686716792,96.05308007367583,104.63808294831942,6.68632006687763,129.25624889332948,6577.357162968235,1.1748873176548351,200,0.001683311522919241
crc,crc_242,REF,CRC,50,cellina-gat-pert,Endothelial,0.49810324129651856,0.7941029502487867,0.08,1.0,0.08,0.94,0.4025677790980648,77.26020916033413,78.88047761417613,7.230998864999416,299.94079656534507,3553.2814132808685,3.646057854267467,200,0.04128161263059188
crc,crc_242,REF,CRC,50,cellina-gat-pert,Epithelial,0.7256182472989194,0.6828948237497053,0.1,1.0,0.1,0.88,0.13219213927867518,65.62533647136449,66.71574603801463,12.742574387039733,590.8272570201165,86877.48167292721,13.944796946288402,200,0.05350679224349346
crc,crc_242,REF,CRC,50,cellina-gat-pert,Fibroblast,0.5253781512605042,0.5900200688545989,0.12,1.0,0.12,0.88,0.5627683891850391,74.16630404998271,71.24708021774958,6.7865912327073215,627.4383509442642,34121.27557042902,4.141099050154451,200,0.0575489836280983
crc,crc_242,REF,CRC,50,cellina-gat-pert,Myeloid,0.7870828331332532,0.8166938899070685,0.28,1.0,0.28,0.94,0.9219741078820827,66.42249341327079,65.99853709034286,5.76568871457976,293.6868010474723,5749.231052724527,2.3060281098069915,200,0.026889338679591937
crc,crc_242,REF,CRC,50,cellina-gat-pert,T_cell,0.5302761104441777,0.6162093438624756,0.18,1.0,0.18,0.8,0.9548105584002261,86.15226117793547,91.28519051545605,5.215580793430165,169.94337788998618,19400.681073739233,1.7136633038740674,200,0.008355640188210526
