dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,spearman,pearson,precision,direction_match,direction_match_k,mixing_index,edistance_global,edistance_local,rmse
crc,crc_242,REF,CRC,50,mintflow,Endothelial,0.2785594237695078,0.3762539925282341,0.08,0.75,0.06,0.3909866017052375,11.243092263115432,13.761043249651967,5507.45795432956
crc,crc_242,REF,CRC,50,mintflow,Epithelial,0.8268427370948378,0.9149466340040597,0.48,1.0,0.48,0.5629583778815673,13.433053782555778,14.69116277495568,208571.1530097695
crc,crc_242,REF,CRC,50,mintflow,Fibroblast,0.03529411764705882,0.08636330732996211,0.16,0.625,0.1,0.3755987227248537,13.837744191743548,16.033133504656565,71575.64328906065
crc,crc_242,REF,CRC,50,mintflow,Myeloid,0.16926770708283315,0.3905682854063454,0.12,0.8333333333333334,0.1,0.1760308656860381,14.785578357470047,16.974968726117638,13786.372438543527
crc,crc_242,REF,CRC,50,mintflow,T_cell,0.39841536614645856,0.5482800537815773,0.08,0.75,0.06,0.5996918335901387,14.094472859106284,16.847789168841295,11451.26329329401
crc,crc_242,REF,CRC,200,mintflow,Endothelial,0.23822995574889377,0.43117085817260326,0.15,0.7666666666666667,0.115,0.061510353227771014,21.124149573386337,23.805045291735514,4157.044095369839
crc,crc_242,REF,CRC,200,mintflow,Epithelial,0.803030075751894,0.8077721663228133,0.38,0.9605263157894737,0.365,0.5598822050906909,21.32498351712601,22.585480963013943,133146.94023721333
crc,crc_242,REF,CRC,200,mintflow,Fibroblast,0.12150903772594317,0.16418867718975347,0.11,0.6363636363636364,0.07,0.37417952811779315,20.474362842355834,22.254959141512924,55890.36449038975
crc,crc_242,REF,CRC,200,mintflow,Myeloid,0.15681092027300686,0.35799164071049283,0.195,0.717948717948718,0.14,0.1707258258982397,21.57394122548816,24.16132731201521,10711.837145120659
crc,crc_242,REF,CRC,200,mintflow,T_cell,0.43275331883297086,0.5149776011301495,0.205,0.7804878048780488,0.16,0.6086286594761171,24.034939196247894,27.41436212839123,8403.865582515133
