dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse,mse_lfc
crc,crc_232,REF,CRC,50,mintflow,Endothelial,0.7033373349339735,0.6752819251646012,0.04,1.0,0.04,0.84,0.9309171005206247,75.213976985308,79.41740792899719,11.097792254305457,169.59613688341904,20283.634570057708,1.6476094132462378
crc,crc_232,REF,CRC,50,mintflow,Epithelial,0.8123409363745497,0.8145848878554482,0.1,1.0,0.1,0.94,0.5820091642326964,66.85384734665894,72.90293276692623,8.959960219572054,267.7004118504785,141002.5988360008,2.2389383872405455
crc,crc_232,REF,CRC,50,mintflow,Fibroblast,0.7644177671068426,0.8206633827157614,0.02,1.0,0.02,0.94,0.6178787146653781,72.42416970051723,76.21186332123482,9.176378049824494,352.5258741602806,70280.06271680185,1.255838106844542
crc,crc_232,REF,CRC,50,mintflow,Myeloid,0.7940936374549818,0.8747312374268653,0.24,1.0,0.24,0.96,0.9990069513406157,72.02176652891266,75.82511348219484,10.036320529388439,291.57026961635256,19378.845922365155,1.557288485849175
crc,crc_232,REF,CRC,50,mintflow,T_cell,0.7316686674669867,0.9336333149897524,0.18,1.0,0.18,0.92,0.9996419620479771,77.56151537892009,81.67426090571493,13.464193316853308,176.42695264668856,11529.187916894018,1.5363854048325687
