holdout_celltype,pearson,spearman,precision,model_name,sid,edistance_cells,edistance_latents
Fibroblast,0.3169270860706509,0.2048019207683073,0.06,mintflow,221,0,0
Endothelial,0.09576132608070773,0.08043217286914765,0.1,mintflow,221,0,0
Myeloid,0.49631092162872215,0.34002400960384155,0.14,mintflow,221,0,0
T_cell,0.3210522290539447,0.23985594237695076,0.32,mintflow,221,0,0
Epithelial,0.4431669111149392,0.37459783913565425,0.12,mintflow,221,0,0
