dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse,mse_lfc
crc,crc_120,REF,CRC,50,mintflow,Endothelial,0.6632893157262905,0.8729381923182744,0.24,0.9166666666666666,0.22,0.94,0.1942917430173802,66.59122594573414,68.46600985382068,13.762215711347485,478.0451462672007,78383.66934774007,1.5091685596004867
crc,crc_120,REF,CRC,50,mintflow,Epithelial,0.9025210084033614,0.9482485355077118,0.3,1.0,0.3,0.98,0.034918378290745386,56.059388502151705,52.857637256491955,15.628002309214583,603.5546898096043,1189077.0702307394,1.7181434346080666
crc,crc_120,REF,CRC,50,mintflow,Fibroblast,0.13747899159663865,0.18838282969624787,0.06,0.6666666666666666,0.04,0.64,0.3923521572835361,67.8805386388601,68.57876591289957,13.207052146136112,1048.8531300676682,447431.72337694943,2.1686020410616216
crc,crc_120,REF,CRC,50,mintflow,Myeloid,0.31198079231692677,0.37495212926947935,0.06,0.6666666666666666,0.04,0.72,0.36583536924602694,67.20100132937762,68.21942395350217,14.332891591129453,517.2664390449041,157597.22866604195,1.5228167406015447
crc,crc_120,REF,CRC,50,mintflow,T_cell,0.7172629051620648,0.766774788540366,0.2,0.9,0.18,0.94,0.6389334578021529,70.93387472772959,73.50249074627979,13.217830184535933,288.93032915442683,135831.73374868647,0.6017111138633322
