holdout_celltype,pearson,spearman,precision,model_name,sid,edistance_cells,edistance_latents
Fibroblast,0.38969711704493903,0.3730612244897959,0.04,mintflow,210,0,0
Endothelial,0.8554882177816127,0.39515006002400954,0.22,mintflow,210,0,0
Myeloid,0.5000761689877113,0.1786794717887155,0.12,mintflow,210,0,0
T_cell,0.4104954113849031,0.4227130852340936,0.36,mintflow,210,0,0
Epithelial,0.5047177039195092,0.2818247298919568,0.08,mintflow,210,0,0
